name,address,city,postal_code,rating,user_ratings_total,types,maps_url,matched_keywords,place_category,product_category
Magasin Général bio ixelles,"Rue Guillaume Stocq 45, 1050 Ixelles, Belgium",Ixelles,1050,4.6,85,grocery_or_supermarket|food|store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJr_b-_-rEw0cRJdXm6hqjenY,boutique bio locale;magasin bio,magasin,
Färm,"Quai au Bois à Brûler 43, 1000 Bruxelles, Belgium",Bruxelles,1000,4.3,470,supermarket|grocery_or_supermarket|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ08b4EYbDw0cRYT_5WYCCML8,magasin bio;magasin de producteurs,magasin,
BIO V,"Rue Vanderkindere 158, 1180 Uccle, Belgium",Uccle,1180,4.5,120,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJn-XxI1HEw0cRFtd4BJaOphs,boutique bio locale;magasin bio;primeurs bio,magasin;producteur,Fruits & Légumes
The Barn Bio Market - Etterbeek,"Pl. Saint-Pierre 38, 1040 Etterbeek, Belgium",Etterbeek,1040,4.7,1184,supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJOQyeka_Ew0cRquIuOZfUoAY,boutique bio locale;magasin bio;magasin de producteurs,magasin,
Le Bionheur,"Av. du Panthéon 103, 1081 Bruxelles, Belgium",Bruxelles,1081,4.5,90,grocery_or_supermarket|health|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJP3UgCOHDw0cRlEh9c4SgNFs,boutique bio locale;magasin bio,magasin,
BIO - TRINITY Magasin Bio,"Chau. d'Alsemberg 610A, 1180 Uccle, Belgium",Uccle,1180,4.8,84,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJox4f5LLFw0cRvDRNcf7bfOE,magasin bio,magasin,
The Barn Bio Market,"Rue de la Tulipe 22, 1050 Ixelles, Belgium",Ixelles,1050,4.6,286,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJcxC0DfHFw0cRkf2QdXoJnVg,boutique bio locale;magasin bio,magasin,
Marché Bio des Tanneurs,"Rue des Tanneurs 58, 1000 Bruxelles, Belgium",Bruxelles,1000,4.5,738,food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJI6-FeUPFw0cRgWiIVPWVx1U,magasin bio;primeurs bio,magasin;producteur,Fruits & Légumes
Épicerie Horta,"Av. Wielemans Ceuppens 190, 1190 Bruxelles, Belgium",Bruxelles,1190,4.5,85,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJx1a6yITFw0cRIF05bTv0qek,magasin bio,magasin,
Bio Shanti,"Av. Adolphe Buyl 70, 1050 Ixelles, Belgium",Ixelles,1050,4.3,344,supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJdS3m38LEw0cR1tMd-0jktLw,magasin bio,magasin,
Super Monkey,"Rue de Tamines 18/22, 1060 Saint-Gilles, Belgium",Saint-Gilles,1060,4.2,215,point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ6zZB5l3Ew0cRK0HqgfYn9Tg,magasin bio,magasin,
Au Rayon Bio Miroir,"Rue Léon Theodor 27, 1090 Jette, Belgium",Jette,1090,4.5,179,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJCTTBOMPDw0cRytXLYLfao4o,boutique bio locale;magasin bio,magasin,
Les Voisines En Font Toute Une Cocotte,"Rue des Alliés 163, 1190 Forest, Belgium",Forest,1190,4.8,61,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJgYScWzjEw0cRs4sW7153HGA,magasin bio,magasin,
Färm,"Rue Vanderkindere 546, 1180 Uccle, Belgium",Uccle,1180,4.4,178,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJb1TWyvrEw0cRrr7Pr54ghcg,magasin bio;magasin de producteurs,magasin,
Färm,"Rue de Stalle 15a, 1180 Uccle, Belgium",Uccle,1180,4.3,72,grocery_or_supermarket|health|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJG8KcwkXFw0cR8jfW-Hw4Zbc,boutique bio locale;magasin bio;magasin de producteurs,magasin,
Le comptoir Bio,"Chau. de Waterloo 1485, 1180 Uccle, Belgium",Uccle,1180,4.4,35,point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJt1hzlQHFw0cRZDMARwdVdIQ,boutique bio locale;magasin bio;magasin de producteurs,magasin,
